CIFAR-10
BIM, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,1.1109,98.0064,40,20.0,0.1,False
l2,1.1170,98.3369,100,20.0,0.04,False
l2,1.1408,93.1343,10,20.0,0.3,False
l2,1.1411,58.3689,2,20.0,0.8,False
l2,1.1503,97.6226,1350,20.0,0.002,False
l2,1.1682,98.4435,200,20.0,0.02,False
l2,1.1920,89.2431,7,20.0,0.4,False
l2,1.1952,97.2601,20,20.0,0.2,False
l2,1.2119,98.0384,1500,20.0,0.002,False
l2,1.2132,98.3795,50,20.0,0.1,False
l2,1.2399,98.4648,400,20.0,0.01,False
l2,1.2495,98.1663,1600,20.0,0.002,False
l2,1.2740,98.5608,250,20.0,0.02,False
l2,1.2748,91.9296,8,20.0,0.4,False
l2,1.3025,98.4755,60,20.0,0.1,False
l2,1.3264,98.6247,200,20.0,0.03,False
l2,1.3506,93.7420,9,20.0,0.4,False
l2,1.3543,98.5608,500,20.0,0.01,False
l2,1.3660,98.6354,300,20.0,0.02,False
l2,1.3812,98.5075,2000,20.0,0.002,False
l2,1.3847,98.6141,70,20.0,0.1,False
l2,1.4130,72.9424,3,20.0,0.8,False
l2,1.4150,98.3902,30,20.0,0.2,False
l2,1.4196,95.0107,10,20.0,0.4,False
l2,1.4381,98.5821,2200,20.0,0.002,False
l2,1.4495,98.7633,350,20.0,0.02,False
l2,1.4534,98.6887,600,20.0,0.01,False
l2,1.4574,98.7313,200,20.0,0.04,False
l2,1.4599,98.6994,80,20.0,0.1,False
l2,1.4903,98.6141,2400,20.0,0.002,False
l2,1.5152,98.6461,2500,20.0,0.002,False
l2,1.5240,98.7846,400,20.0,0.02,False
l2,1.5294,98.7207,90,20.0,0.1,False
l2,1.5390,98.6567,2600,20.0,0.002,False
l2,1.5408,98.7527,700,20.0,0.01,False
l2,1.5483,98.7846,300,20.0,0.03,False
l2,1.5560,98.0597,20,20.0,0.3,False
l2,1.5846,98.6780,2800,20.0,0.002,False
l2,1.5925,98.5714,40,20.0,0.2,False
l2,1.5926,98.7846,450,20.0,0.02,False
l2,1.5949,98.7420,100,20.0,0.1,False
l2,1.6191,98.7527,800,20.0,0.01,False
l2,1.6280,98.7207,3000,20.0,0.002,False
l2,1.6280,98.7207,3000,20.0,0.002,False
l2,1.6378,82.0362,4,20.0,0.8,False
l2,1.6568,98.7953,500,20.0,0.02,False
l2,1.6913,98.7633,900,20.0,0.01,False
l2,1.7023,98.7953,300,20.0,0.04,False
l2,1.7172,98.8060,550,20.0,0.02,False
l2,1.7265,98.7740,3500,20.0,0.002,False
l2,1.7276,98.8060,400,20.0,0.03,False
l2,1.7467,98.6780,50,20.0,0.2,False
l2,1.7586,98.7846,1000,20.0,0.01,False
l2,1.7627,98.7846,3700,20.0,0.002,False
l2,1.7745,98.8166,600,20.0,0.02,False
l2,1.8144,98.8060,4000,20.0,0.002,False
l2,1.8289,98.8166,650,20.0,0.02,False
l2,1.8324,87.8678,5,20.0,0.8,False
l2,1.8467,98.4755,30,20.0,0.3,False
l2,1.8473,98.8166,4200,20.0,0.002,False
l2,1.8815,98.8380,700,20.0,0.02,False
l2,1.8828,98.8273,500,20.0,0.03,False
l2,1.8849,98.6994,60,20.0,0.2,False
l2,1.8945,98.8273,4500,20.0,0.002,False
l2,1.9043,98.8273,400,20.0,0.04,False
l2,1.9291,98.3902,20,20.0,0.4,False
l2,1.9314,98.8380,750,20.0,0.02,False
l2,1.9394,98.8380,4800,20.0,0.002,False
l2,1.9681,98.8380,5000,20.0,0.002,False
l2,1.9797,98.8486,800,20.0,0.02,False
l2,2.0046,91.8230,6,20.0,0.8,False
l2,2.0111,98.6994,70,20.0,0.2,False
l2,2.0215,98.8380,600,20.0,0.03,False
l2,2.0259,98.8486,850,20.0,0.02,False
l2,2.0706,98.8486,900,20.0,0.02,False
l2,2.0792,98.8273,500,20.0,0.04,False
l2,2.0889,98.6034,40,20.0,0.3,False
l2,2.1003,98.8486,6000,20.0,0.002,False
l2,2.1134,98.7953,200,20.0,0.1,False
l2,2.1139,98.8486,950,20.0,0.02,False
l2,2.1293,98.7420,80,20.0,0.2,False
l2,2.1473,98.8380,700,20.0,0.03,False
l2,2.1560,98.8486,1000,20.0,0.02,False
l2,2.1602,94.3497,7,20.0,0.8,False
l2,2.2366,98.8380,600,20.0,0.04,False
l2,2.2393,98.7420,90,20.0,0.2,False
l2,2.2645,98.8593,800,20.0,0.03,False
l2,2.2991,98.5928,30,20.0,0.4,False
l2,2.3013,95.6397,8,20.0,0.8,False
l2,2.3022,98.6780,50,20.0,0.3,False
l2,2.3257,98.8699,8000,20.0,0.002,False
l2,2.3432,98.7420,100,20.0,0.2,False
l2,2.3727,98.8593,900,20.0,0.03,False
l2,2.3798,98.8486,700,20.0,0.04,False
l2,2.4311,96.4072,9,20.0,0.8,False
l2,2.4759,98.8913,1000,20.0,0.03,False
l2,2.4943,98.6994,60,20.0,0.3,False
l2,2.5054,98.8486,300,20.0,0.1,False
l2,2.5130,98.8699,800,20.0,0.04,False
l2,2.5163,98.8806,10000,20.0,0.002,False
l2,2.5516,97.1322,10,20.0,0.8,False
l2,2.6090,98.6354,40,20.0,0.4,False
l2,2.6365,98.8806,900,20.0,0.04,False
l2,2.6705,98.7207,70,20.0,0.3,False
l2,2.7539,98.9019,1000,20.0,0.04,False
l2,2.8274,98.9446,2000,20.0,0.02,False
l2,2.8341,98.7313,80,20.0,0.3,False
l2,2.8342,98.9019,400,20.0,0.1,False
l2,2.8827,98.6994,50,20.0,0.4,False
l2,2.9056,98.9339,15000,20.0,0.002,False
l2,2.9877,98.7313,90,20.0,0.3,False
l2,3.1221,98.9446,500,20.0,0.1,False
l2,3.1303,98.7207,60,20.0,0.4,False
l2,3.1334,98.7527,100,20.0,0.3,False
l2,3.1834,98.8380,200,20.0,0.2,False
l2,3.2171,98.9552,20000,20.0,0.002,False
l2,3.3577,98.7207,70,20.0,0.4,False
l2,3.3808,98.9765,600,20.0,0.1,False
l2,3.4799,98.4115,20,20.0,0.8,False
l2,3.4830,98.9765,25000,20.0,0.002,False
l2,3.5690,98.7207,80,20.0,0.4,False
l2,3.6172,99.0085,700,20.0,0.1,False
l2,3.7175,98.9979,30000,20.0,0.002,False
l2,3.7246,99.0299,4000,20.0,0.02,False
l2,3.7679,98.7207,90,20.0,0.4,False
l2,3.8274,98.8913,300,20.0,0.2,False
l2,3.8333,99.0085,800,20.0,0.1,False
l2,3.9563,98.7420,100,20.0,0.4,False
l2,4.0356,99.0192,900,20.0,0.1,False
l2,4.1693,98.5075,30,20.0,0.8,False
l2,4.2271,99.0512,1000,20.0,0.1,False
l2,4.3142,98.8913,200,20.0,0.3,False
l2,4.3711,98.9659,400,20.0,0.2,False
l2,4.3762,99.1471,6000,20.0,0.02,False
l2,4.7465,98.5928,40,20.0,0.8,False
l2,4.8488,99.0405,500,20.0,0.2,False
l2,4.8909,99.1791,8000,20.0,0.02,False
l2,5.2183,98.9872,300,20.0,0.3,False
l2,5.2526,98.6567,50,20.0,0.8,False
l2,5.2781,99.1258,600,20.0,0.2,False
l2,5.3270,99.2537,10000,20.0,0.02,False
l2,5.4695,98.8380,200,20.0,0.4,False
l2,5.6609,99.1471,700,20.0,0.2,False
l2,5.7070,98.7100,60,20.0,0.8,False
l2,5.9684,99.1045,400,20.0,0.3,False
l2,6.0098,99.1684,800,20.0,0.2,False
l2,6.1198,98.7420,70,20.0,0.8,False
l2,6.3318,99.2004,900,20.0,0.2,False
l2,6.5012,98.7633,80,20.0,0.8,False
l2,6.6033,99.1151,500,20.0,0.3,False
l2,6.6039,98.9872,300,20.0,0.4,False
l2,6.6310,99.2431,1000,20.0,0.2,False
l2,6.8554,98.7846,90,20.0,0.8,False
l2,7.1649,99.1898,600,20.0,0.3,False
l2,7.1873,98.8166,100,20.0,0.8,False
l2,7.5219,99.0512,400,20.0,0.4,False
l2,7.6680,99.2751,700,20.0,0.3,False
l2,8.1180,99.3070,800,20.0,0.3,False
l2,8.2967,99.1365,500,20.0,0.4,False
l2,8.5308,99.3497,900,20.0,0.3,False
l2,8.9127,99.4136,1000,20.0,0.3,False
l2,8.9649,99.2004,600,20.0,0.4,False
l2,9.5521,99.2324,700,20.0,0.4,False
l2,9.7210,99.1471,200,20.0,0.8,False
l2,10.0763,99.2751,800,20.0,0.4,False
l2,10.5469,99.3177,900,20.0,0.4,False
l2,10.9760,99.3923,1000,20.0,0.4,False
l2,11.4497,99.3070,300,20.0,0.8,False
l2,12.7491,99.4243,400,20.0,0.8,False
l2,13.7718,99.4563,500,20.0,0.8,False
l2,14.5991,99.4776,600,20.0,0.8,False
l2,15.2805,99.5203,700,20.0,0.8,False
l2,15.8488,99.5309,800,20.0,0.8,False
l2,16.3325,99.5522,900,20.0,0.8,False
l2,16.7493,99.5629,1000,20.0,0.8,False

CIFAR-10
BIM, targeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.0100,0.5107,1,20.0,0.01,True
l2,0.0198,1.1212,2,20.0,0.01,True
l2,0.0198,1.1545,10,20.0,0.002,True
l2,0.0293,1.6652,3,20.0,0.01,True
l2,0.0300,1.5098,1,20.0,0.03,True
l2,0.0387,2.1092,4,20.0,0.01,True
l2,0.0389,2.1536,20,20.0,0.002,True
l2,0.0400,1.8206,1,20.0,0.04,True
l2,0.0479,2.6643,5,20.0,0.01,True
