CIFAR-10
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.4600,90.0107,400,0.46,0.02,False
l2,0.4600,90.5437,600,0.46,0.02,False
l2,0.4700,90.3198,400,0.47,0.02,False
l2,0.4700,90.9275,600,0.47,0.02,False
l2,0.4800,90.7356,400,0.48,0.02,False
l2,0.4800,91.3539,600,0.48,0.02,False
l2,0.4900,91.2047,400,0.49,0.02,False
l2,0.4900,91.6525,600,0.49,0.02,False
l2,0.5000,57.9957,200,0.5,0.002,False
l2,0.5000,86.0874,1000,0.5,0.002,False
l2,0.5000,84.2324,800,0.5,0.002,False
l2,0.5000,80.6077,600,0.5,0.002,False
l2,0.5000,87.4094,1200,0.5,0.002,False
l2,0.5000,91.5672,400,0.5,0.02,False
l2,0.5000,92.1748,600,0.5,0.02,False
l2,0.5000,92.3454,800,0.5,0.02,False
l2,0.5000,92.4520,1000,0.5,0.02,False
l2,0.5100,91.8763,400,0.51,0.02,False
l2,0.5100,92.4947,600,0.51,0.02,False
l2,0.5200,92.1642,400,0.52,0.02,False
l2,0.5200,92.7612,600,0.52,0.02,False
l2,0.5300,92.5693,400,0.53,0.02,False
l2,0.5300,93.1876,600,0.53,0.02,False
l2,0.5400,92.9638,400,0.54,0.02,False
l2,0.5400,93.4222,600,0.54,0.02,False
l2,0.5500,58.4968,200,0.55,0.002,False
l2,0.5500,87.8038,1000,0.55,0.002,False
l2,0.5500,93.2409,400,0.55,0.02,False
l2,0.5500,93.7953,600,0.55,0.02,False
l2,0.5600,93.5714,400,0.56,0.02,False
l2,0.5600,93.9765,600,0.56,0.02,False
l2,0.5700,93.8486,400,0.57,0.02,False
l2,0.5700,94.2324,600,0.57,0.02,False
l2,0.5800,94.0405,400,0.58,0.02,False
l2,0.5800,94.4136,600,0.58,0.02,False
l2,0.5900,94.2964,400,0.59,0.02,False
l2,0.5900,94.7015,600,0.59,0.02,False
l2,0.6000,59.2751,200,0.6,0.002,False
l2,0.6000,89.3710,1000,0.6,0.002,False
l2,0.6000,86.9510,800,0.6,0.002,False
l2,0.6000,83.0277,600,0.6,0.002,False
l2,0.6000,90.5650,1200,0.6,0.002,False
l2,0.6000,94.4776,400,0.6,0.02,False
