CIFAR-10
FGSM, untargeted
dist, l2, asr, eps, target
l2,2.3859,45.3305,0.0435,False
l2,2.4131,45.5011,0.044,False
l2,2.4404,45.8316,0.0445,False
l2,2.4677,45.9701,0.045,False
l2,2.4949,46.1620,0.0455,False
l2,2.5222,46.4072,0.046,False
l2,2.5493,46.6418,0.0465,False
l2,2.5766,46.8977,0.047,False
l2,2.6038,47.1748,0.0475,False
l2,2.6310,47.4307,0.048,False
l2,2.6581,47.7719,0.0485,False
l2,2.6853,48.0597,0.049,False
l2,2.7124,48.2623,0.0495,False
l2,2.7396,48.4328,0.05,False
l2,2.7669,48.8273,0.0505,False
l2,2.7941,48.9872,0.051,False
l2,2.8212,49.1684,0.0515,False
l2,2.8484,49.3923,0.052,False
l2,2.8757,49.5522,0.0525,False
l2,2.9029,49.9147,0.053,False
l2,2.9301,50.2985,0.0535,False
l2,2.9573,50.4371,0.054,False
l2,2.9844,50.6503,0.0545,False
l2,3.0115,50.9595,0.055,False
l2,3.0385,51.3220,0.0555,False
l2,3.0656,51.6205,0.056,False
l2,3.0928,51.8977,0.0565,False
l2,3.1199,52.1535,0.057,False
l2,3.1470,52.5160,0.0575,False
l2,3.1742,52.8678,0.058,False
l2,3.2012,53.2303,0.0585,False
l2,3.2284,53.6141,0.059,False
l2,3.2825,54.2537,0.06,False
l2,4.3597,66.5245,0.08,False
l2,5.4264,74.3817,0.1,False
l2,6.4821,79.0299,0.12,False
l2,7.5250,81.8763,0.14,False
l2,8.5552,83.5608,0.16,False
l2,9.5728,84.9041,0.18,False
l2,10.5759,86.0554,0.2,False
l2,11.5623,87.4733,0.22,False
l2,12.5321,88.4755,0.24,False
l2,13.4836,88.9446,0.26,False
l2,14.4159,89.4350,0.28,False
l2,15.3269,89.7655,0.3,False
l2,16.2190,89.8294,0.32,False
l2,17.0897,89.9893,0.34,False
l2,17.9397,90.0107,0.36,False
l2,18.7669,90.0213,0.38,False
l2,19.5711,90.0000,0.4,False
l2,20.3514,89.9574,0.42,False
l2,21.1063,89.9360,0.44,False
l2,21.8362,89.9360,0.46,False
l2,22.5390,89.9787,0.48,False
l2,23.2153,89.9680,0.5,False
l2,26.1796,90.0107,0.6,False
l2,28.4160,90.0320,0.7,False
l2,29.9238,90.0533,0.8,False
l2,30.7599,90.0959,0.9,False
l2,31.0540,90.1279,1.0,False

CIFAR-10
FGSM, targeted
dist, l2, asr, eps, target
l2,0.0885,2.3979,0.0016,True
l2,0.0995,2.6532,0.0018,True
l2,0.1106,3.0306,0.002,True
l2,0.1106,3.0306,0.002,True
l2,0.1659,4.3406,0.003,True
l2,0.1936,4.7846,0.0035,True
l2,0.1991,4.8734,0.0036,True
l2,0.2212,5.3175,0.004,True
l2,0.2212,5.3175,0.004,True
l2,0.2764,6.0502,0.005,True
l2,0.3040,6.3721,0.0055,True
l2,0.3316,6.6052,0.006,True
l2,0.3316,6.6052,0.006,True
l2,0.3868,7.0826,0.007,True
l2,0.3977,7.1825,0.0072,True
l2,0.4032,7.2824,0.0073,True
l2,0.4087,7.3046,0.0074,True
l2,0.4142,7.3601,0.0075,True
l2,0.4418,7.5488,0.008,True
l2,0.4418,7.5488,0.008,True
l2,0.4473,7.5821,0.0081,True
