MNIST
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,3.0000,99.6882,1000,3.0,0.02,False
l2,3.0000,99.6982,1200,3.0,0.02,False
l2,3.0000,99.7184,1600,3.0,0.02,False
l2,3.0000,76.2020,1000,3.0,0.002,False
l2,3.1000,99.6278,400,3.1,0.02,False
l2,3.1000,99.7485,600,3.1,0.02,False
l2,3.1000,99.7687,800,3.1,0.02,False
l2,3.1000,99.7787,1000,3.1,0.02,False
l2,3.1000,99.7787,1200,3.1,0.02,False
l2,3.1000,99.7888,1600,3.1,0.02,False
l2,3.1000,15.6709,400,3.1,0.002,False
l2,3.1000,37.1253,600,3.1,0.002,False
l2,3.1000,61.2352,800,3.1,0.002,False
l2,3.1000,99.8391,400,3.1,0.2,False
l2,3.1000,99.8391,600,3.1,0.2,False
l2,3.1000,99.8391,800,3.1,0.2,False
l2,3.1000,99.8391,1000,3.1,0.2,False
l2,3.2000,98.0688,200,3.2,0.02,False
l2,3.2000,99.7586,400,3.2,0.02,False
l2,3.2000,99.8391,800,3.2,0.02,False
l2,3.2000,99.8491,1000,3.2,0.02,False
l2,3.2000,99.8491,1200,3.2,0.02,False
l2,3.2000,99.8491,1600,3.2,0.02,False
l2,3.3000,99.8089,400,3.3,0.02,False
l2,3.3000,99.8793,800,3.3,0.02,False
l2,3.3000,99.8793,1000,3.3,0.02,False
l2,3.3000,99.8894,1200,3.3,0.02,False
l2,3.3000,99.8894,1600,3.3,0.02,False
l2,3.4000,98.9137,200,3.4,0.02,False
l2,3.4000,99.8592,400,3.4,0.02,False
l2,3.4000,99.9296,800,3.4,0.02,False
l2,3.4000,99.9396,1000,3.4,0.02,False
l2,3.4000,99.9497,1200,3.4,0.02,False
l2,3.4000,99.9497,1600,3.4,0.02,False
l2,3.5000,99.1350,200,3.5,0.02,False
l2,3.5000,99.9095,400,3.5,0.02,False
l2,3.5000,99.9598,800,3.5,0.02,False
l2,3.5000,99.9598,1000,3.5,0.02,False
l2,3.5000,99.9598,1200,3.5,0.02,False
l2,3.5000,99.9598,1600,3.5,0.02,False
l2,3.5000,83.2931,1000,3.5,0.002,False
l2,3.6000,99.4066,200,3.6,0.02,False
l2,3.6000,99.9497,400,3.6,0.02,False
l2,3.6000,99.9598,600,3.6,0.02,False
l2,3.6000,99.9799,800,3.6,0.02,False
l2,3.6000,99.9799,1000,3.6,0.02,False
l2,3.6000,99.9799,1200,3.6,0.02,False
l2,3.6000,99.9899,1600,3.6,0.02,False
l2,3.6000,18.6683,400,3.6,0.002,False
l2,3.6000,44.0958,600,3.6,0.002,False
l2,3.6000,69.8049,800,3.6,0.002,False
l2,3.6000,99.9799,400,3.6,0.2,False
l2,3.6000,99.9899,600,3.6,0.2,False
l2,3.6000,99.9899,800,3.6,0.2,False
l2,3.6000,99.9899,1000,3.6,0.2,False
l2,3.7000,99.9497,400,3.7,0.02,False
l2,3.7000,99.9899,800,3.7,0.02,False
l2,3.7000,99.9899,1000,3.7,0.02,False
l2,3.7000,99.9899,1200,3.7,0.02,False
l2,3.7000,99.9899,1600,3.7,0.02,False
l2,3.8000,99.6882,200,3.8,0.02,False
l2,3.8000,99.9698,400,3.8,0.02,False
l2,3.8000,99.9899,800,3.8,0.02,False
l2,3.8000,99.9899,1000,3.8,0.02,False
l2,3.8000,99.9899,1200,3.8,0.02,False
l2,3.8000,100.0000,1600,3.8,0.02,False
l2,3.9000,99.9899,400,3.9,0.02,False
l2,3.9000,99.9899,800,3.9,0.02,False
l2,3.9000,100.0000,1000,3.9,0.02,False
l2,3.9000,100.0000,1200,3.9,0.02,False
l2,3.9000,100.0000,1600,3.9,0.02,False
l2,4.0000,99.7787,200,4.0,0.02,False
l2,4.0000,100.0000,400,4.0,0.02,False
l2,4.0000,100.0000,800,4.0,0.02,False
l2,4.0000,100.0000,1000,4.0,0.02,False
l2,4.0000,100.0000,1200,4.0,0.02,False
l2,4.0000,100.0000,1600,4.0,0.02,False
l2,4.0000,88.5033,1000,4.0,0.002,False
l2,4.1000,100.0000,400,4.1,0.02,False
l2,4.1000,100.0000,600,4.1,0.02,False
l2,4.1000,100.0000,800,4.1,0.02,False
l2,4.1000,100.0000,1200,4.1,0.02,False
l2,4.1000,100.0000,1600,4.1,0.02,False
l2,4.1000,22.0076,400,4.1,0.002,False
l2,4.1000,51.4182,600,4.1,0.002,False
l2,4.1000,77.0368,800,4.1,0.002,False
l2,4.1000,100.0000,400,4.1,0.2,False
l2,4.1000,100.0000,600,4.1,0.2,False
l2,4.1000,100.0000,800,4.1,0.2,False
l2,4.1000,100.0000,1000,4.1,0.2,False
l2,4.2000,99.8491,200,4.2,0.02,False
l2,4.2000,100.0000,1000,4.2,0.02,False
l2,4.4000,99.8894,200,4.4,0.02,False
l2,4.4000,100.0000,1000,4.4,0.02,False
